,English (en)
61,abundance
71,accelerate
85,accolade
88,accompaniment
123,achievement
138,acquiring
172,addresses
222,adore
225,adrift
229,advance
235,advent
236,adventure
250,advocacy
343,airport
360,alertness
361,alerts
378,alive
403,allure
411,aloha
442,ambition
465,amour
491,analyst
512,angel
518,angling
540,announcement
573,anticipation
574,anticipatory
575,antidote
590,anxiety
591,anxious
619,appeal
635,applicant
648,apprehensive
652,approaching
675,arbitration
683,archaeology
695,ardent
726,arouse
734,arrival
735,arrive
742,art
774,aspiration
775,aspire
776,aspiring
826,astrologer
829,astronomer
852,atone
863,attainable
865,attempt
866,attendance
886,auction
891,audience
905,auspicious
948,await
951,award
1016,ballot
1018,balm
1030,banger
1040,banquet
1087,basketball
1123,beaming
1162,begun
1213,betrothed
1220,beware
1234,biennial
1270,birth
1271,birthday
1313,bless
1315,blessing
1316,blessings
1321,blindfold
1342,bloom
1362,board
1382,boisterous
1403,bonus
1420,boomerang
1457,bountiful
1458,bounty
1527,bridal
1528,bride
1529,bridegroom
1538,brilliant
1549,broadside
1567,brotherly
1570,bruise
1584,buddy
1593,bugle
1674,buzz
1677,bye
1705,calculation
1719,calls
1744,candid
1773,cap
1792,captivate
1811,career
1849,cash
1872,cataract
1897,caution
1899,cautious
1913,celebrated
1914,celebrating
1915,celebration
1916,celebrity
1917,celestial
1923,cement
1971,champion
1977,changeable
1982,chant
2001,charitable
2013,chastity
2030,cheer
2032,cheerfulness
2034,cheery
2041,cherish
2049,chicane
2054,child
2074,chocolate
2099,chuckle
2102,church
2150,clamor
2154,clap
2202,climax
2210,clock
2218,closure
2231,clown
2235,clue
2351,comfort
2355,coming
2361,commemorate
2362,commemoration
2363,commemorative
2384,commonplace
2421,compensate
2427,competition
2436,complement
2441,completing
2442,completion
2453,compliment
2487,concealed
2488,concealment
2520,condemnation
2545,confession
2590,conjecture
2596,conjure
2610,consecration
2615,consequent
2616,conservation
2635,conspirator
2665,contagion
2690,contingent
2694,continuation
2695,continue
2733,convergence
2751,convince
2810,correspondence
2842,council
2847,countdown
2869,court
2874,courtship
2876,cove
2900,cradle
2906,cramp
2913,craps
2917,crave
2918,craving
2926,cream
2948,creeping
2951,crescendo
2994,crowning
3030,cue
3041,cultivate
3060,curiosity
3120,daily
3145,dare
3164,dawn
3178,deal
