,English (en)
15,aberration
17,abhor
18,abhorrent
21,abject
24,abnormal
29,abominable
30,abomination
33,abortion
61,abundance
63,abuse
113,accusation
147,actionable
165,adder
228,adultery
240,adverse
280,affliction
284,affront
292,aftermath
305,aggravation
311,aghast
344,airs
357,alcoholism
367,alien
368,alienate
370,alienation
458,ammonia
467,amphetamines
482,anaconda
499,anathema
519,angry
527,animosity
541,annoy
542,annoyance
560,antagonistic
568,anthrax
572,antichrist
578,antipathy
584,antisocial
601,aphid
614,appalling
737,arrogant
740,arsenic
766,ashamed
797,asshole
835,asymmetry
855,atrocious
856,atrocity
857,atrophy
861,attacking
926,autopsy
931,avarice
937,averse
938,aversion
953,awful
954,awkwardness
968,baboon
984,backwards
986,bacteria
987,bacterium
988,bad
992,badness
1028,bane
1029,bang
1031,banish
1033,banishment
1038,bankruptcy
1041,banshee
1048,barbaric
1056,barf
1074,barrow
1091,bastard
1132,beastly
1175,belittle
1208,bestial
1211,betray
1212,betrayal
1228,bickering
1238,bigot
1239,bigoted
1243,bile
1268,birch
1279,bitch
1281,bitterly
1282,bitterness
1295,blame
1300,blasphemous
1303,blatant
1309,bleeding
1310,blemish
1317,blight
1318,blighted
1328,blister
1331,bloated
1332,blob
1339,bloodshed
1340,bloodthirsty
1341,bloody
1354,blunder
1377,bogus
1378,boil
1391,bombed
1464,bovine
1466,bowels
1472,boy
1490,bran
1498,brawl
1525,bribery
1564,brothel
1590,bug
1613,bum
1614,bummer
1630,bureaucrat
1631,burglar
1635,burke
1644,burnt
1661,butcher
1690,cacophony
1691,cad
1692,cadaver
1718,callous
1743,cancer
1756,canker
1757,cannibal
1758,cannibalism
1803,carcass
1814,carelessness
1821,caries
1822,carnage
1873,catastrophe
1876,catechism
1916,celebrity
1926,censor
1952,cess
1956,chagrin
2021,cheat
2078,cholera
2147,claimant
2150,clamor
2237,clumsy
2269,coerce
2270,coercion
2299,coldness
2302,collapse
2321,collusion
2463,compost
2520,condemnation
2524,condescension
2555,confined
2584,congress
2635,conspirator
2643,constipation
2665,contagion
2666,contagious
2668,contaminate
2669,contaminated
2670,contamination
2676,contempt
2677,contemptible
2682,contentious
2702,contraband
2749,convict
2766,coop
2776,copycat
2801,corpse
2818,corrupting
2819,corruption
