,English (en)
2,abandon
3,abandoned
4,abandonment
13,abduction
17,abhor
18,abhorrent
29,abominable
30,abomination
33,abortion
43,absence
63,abuse
67,abyss
82,accident
83,accidental
112,accursed
115,accused
116,accuser
117,accusing
143,acrobat
165,adder
190,adjudicate
213,admonition
225,adrift
229,advance
240,adverse
241,adversity
278,afflict
280,affliction
284,affront
289,afraid
292,aftermath
296,aga
308,aggression
309,aggressive
310,aggressor
311,aghast
318,agonizing
319,agony
333,ailing
351,alarm
352,alarming
357,alcoholism
360,alertness
361,alerts
367,alien
370,alienation
444,ambulance
445,ambush
482,anaconda
495,anarchism
496,anarchist
497,anarchy
499,anathema
515,angina
520,anguish
527,animosity
534,annihilate
535,annihilated
536,annihilation
551,anomaly
568,anthrax
572,antichrist
584,antisocial
590,anxiety
591,anxious
594,apache
614,appalling
618,apparition
625,appendicitis
646,apprehend
647,apprehension
648,apprehensive
715,armament
716,armaments
718,armed
719,armor
720,armored
727,arraignment
740,arsenic
741,arson
752,artillery
769,asp
778,assail
779,assailant
780,assassin
781,assassinate
782,assassination
783,assault
824,astray
833,asylum
841,atherosclerosis
856,atrocity
857,atrophy
860,attack
861,attacking
878,attorney
894,auditor
906,austere
926,autopsy
930,avalanche
937,averse
938,aversion
945,avoid
946,avoidance
947,avoiding
953,awful
986,bacteria
987,bacterium
988,bad
992,badness
999,bailiff
1000,bait
1009,bale
1028,bane
1029,bang
1030,banger
1031,banish
1032,banished
1037,bankrupt
1038,bankruptcy
1041,banshee
1047,barbarian
1048,barbaric
1070,barricade
1103,batter
1104,battered
1107,battled
1108,battlefield
1111,bayonet
1124,bear
1130,bearish
1131,beast
1132,beastly
1134,beating
1147,bee
1164,behemoth
1175,belittle
1177,belligerent
1182,belt
1208,bestial
1220,beware
1221,bewildered
1222,bewilderment
1235,bier
1238,bigot
1239,bigoted
1265,biopsy
1268,birch
1270,birth
1279,bitch
1290,blackmail
1291,blackness
1302,blast
1309,bleeding
1310,blemish
1317,blight
1321,blindfold
1332,blob
1334,blockade
1339,bloodshed
1340,bloodthirsty
1341,bloody
1351,blues
1388,bomb
1389,bombard
1390,bombardment
1392,bomber
1395,bondage
1450,bottomless
1498,brawl
1535,brigade
1541,brimstone
1553,broke
1554,broken
1574,brutal
1575,brutality
1576,brute
1579,buck
1590,bug
1591,bugaboo
1611,bully
1621,bunker
1627,burdensome
1631,burglar
1633,burial
1634,buried
1635,burke
1656,busted
1661,butcher
1674,buzz
1683,cabal
1692,cadaver
1736,campaigning
1743,cancer
1753,cane
1757,cannibal
1760,cannon
1794,captive
1796,captor
1803,carcass
1804,carcinoma
1808,cardiomyopathy
1822,carnage
1825,carnivorous
1842,cartridge
1847,case
1849,cash
1855,casket
1863,casualty
1872,cataract
1873,catastrophe
1897,caution
1898,cautionary
1899,cautious
1900,cautiously
1925,cemetery
1926,censor
1954,chaff
1966,challenge
1976,change
1983,chaos
1998,chargeable
2011,chasm
2050,chicken
2061,chimera
2078,cholera
2160,clashing
2172,claw
2185,cleave
2199,cliff
2227,cloudiness
2256,cobra
2269,coerce
2270,coercion
2276,coffin
2299,coldness
2302,collapse
2321,collusion
2337,coma
2338,comatose
2340,combat
2341,combatant
2342,combative
2394,communism
2413,compassion
2487,concealed
2488,concealment
2497,concerned
2520,condemnation
2545,confession
2546,confessional
2549,confidence
2554,confine
2555,confined
2556,confinement
2564,conflagration
2565,conflict
2575,confusion
2605,conquest
2634,conspiracy
2635,conspirator
2636,conspire
2642,consternation
2650,constrain
2652,constraint
2665,contagion
2666,contagious
2669,contaminated
2676,contempt
2682,contentious
2702,contraband
2749,convict
2772,cop
2816,corrosive
2818,corrupting
2844,counsellor
2865,courageous
2869,court
2876,cove
2884,coward
2885,cowardice
2886,cowardly
2891,coy
2892,coyote
2896,cracked
2914,crash
2923,crazed
2924,crazy
2934,creature
2958,criminal
2959,criminality
2962,cringe
2963,cripple
2970,criticize
2976,crocodile
2981,cross
2986,crouch
2988,crouching
2998,crucifixion
3000,cruel
3001,cruelly
3002,cruelty
3008,crusade
3010,crushed
3011,crushing
3018,crypt
3040,cult
3051,cupping
3052,cur
3067,curse
3068,cursed
3092,cutter
3094,cutthroat
3095,cutting
3098,cyanide
3102,cyclone
3107,cyst
3117,daemon
3119,dagger
3130,damnation
3140,danger
3141,dangerous
3148,darken
3149,darkened
3151,darkness
3154,dart
3157,dashed
3159,dastardly
3174,deadly
3185,death
3186,debacle
3189,debauchery
3198,decay
3201,deceit
3225,decomposition
3244,defamation
3246,default
3250,defection
3252,defend
3253,defendant
3257,defense
3258,defenseless
3265,defiance
3274,deflation
3280,deformity
3285,defy
3291,degrading
3294,delay
3299,deleterious
3319,deluge
3320,delusion
3321,delusional
3326,demented
3327,dementia
3328,demise
3333,demon
3334,demonic
3342,demoralized
3355,dentistry
3356,denunciation
3366,dependence
3372,deplorable
3375,deport
3376,deportation
3382,depraved
3385,depreciated
3386,depreciation
3387,depress
3388,depressed
3392,deprivation
3396,deranged
3405,derogation
3406,derogatory
3411,descent
3415,desecration
3416,desert
3417,deserted
3434,desolation
3435,despair
3436,despairing
3442,despotic
3443,despotism
3445,destination
3448,destitute
3449,destroyed
3450,destroyer
3451,destroying
3453,destructive
3460,detainee
3469,deteriorate
3471,deterioration
3477,detonate
3485,devastate
3486,devastating
3487,devastation
3495,devil
3496,devilish
3511,diabolical
3512,diagnosis
3533,dictator
3535,dictatorship
3540,die
3550,difficult
3552,difficulty
3563,dike
3584,dinosaur
3594,dire
3603,disable
3604,disabled
3612,disallowed
3613,disappear
3621,disapprove
3626,disaster
3627,disastrous
3642,discipline
3654,discontent
3657,discontinuity
3662,discourage
3676,discrimination
3681,disease
3682,diseased
3683,disembodied
3686,disfigured
3693,disgust
3694,disgusting
3700,dishonor
3705,disinformation
3707,disintegrate
3717,dislocated
3720,dismal
3721,dismay
3722,dismemberment
3724,dismissal
3729,disorder
3745,displaced
3748,displeased
3754,dispossessed
3762,disreputable
3765,disrespectful
3766,disruption
3778,dissident
3783,dissolution
3807,distress
3808,distressed
3809,distressing
3813,distrust
3814,disturbance
3849,divorce
3886,dominant
3887,dominate
3889,domination
3890,dominion
3897,doom
3898,doomed
3899,doomsday
3912,doubt
3922,downfall
3933,dragon
3949,dread
3950,dreadful
3951,dreadfully
3982,drown
4001,dubious
4007,duel
4020,dungeon
4030,duress
4038,dwarfed
4043,dying
4069,earthquake
4099,edict
4110,eel
4163,elevation
4167,elf
4170,elimination
4187,emaciated
4195,embarrassment
4205,embolism
4216,emergency
4269,encroachment
4271,encumbrance
4274,endanger
4275,endangered
4278,endemic
4280,endless
4281,endocarditis
4291,enemy
4294,enforce
4313,enigmatic
4323,enmity
4332,enslaved
4337,entangled
4373,epidemic
4407,eradication
4408,erase
4427,eruption
4431,escape
4432,escaped
4464,ethereal
4475,euthanasia
4476,evacuate
4478,evade
4485,evasion
4491,eventuality
4497,eviction
4500,evil
4506,exacerbation
4515,examination
4538,excitation
4539,excite
4546,exclusion
4549,excruciating
4553,execution
4554,executioner
4576,exigent
4577,exile
4585,exorcism
4605,expel
4627,explode
4631,explosion
4632,explosive
4637,expose
4647,expulsion
4658,exterminate
4659,extermination
4670,extrajudicial
4713,failing
4714,failure
4716,fainting
4737,falter
4748,fanaticism
4753,fang
4754,fangs
4778,fatal
4779,fatality
4796,fear
4797,fearful
4798,fearfully
4799,fearing
4800,fearless
4818,feeling
4826,felon
4842,ferocious
4857,fever
4873,fiend
4874,fierce
4876,fight
4917,fire
4918,firearms
4989,fled
4990,flee
5004,flinch
5012,flog
5013,flood
5020,flounder
5025,flu
5028,fluctuation
5047,flying
5057,foe
5092,forbidding
5093,force
5094,forced
5096,forcibly
5100,foreboding
5103,foreclose
5112,foreigner
5121,forewarned
5125,forfeiture
5134,forgotten
5145,formidable
5163,fortress
5172,foul
5186,fragile
5197,frantic
5202,fraught
5206,freakish
5216,frenetic
5217,frenzied
5224,fret
5230,frigate
5231,fright
5232,frighten
5233,frightened
5234,frightful
5269,fugitive
5301,fury
5329,gallows
5340,gang
5362,gash
5366,gasping
5414,gent
5433,ghastly
5434,ghetto
5435,ghost
5436,ghostly
5437,giant
5464,gladiator
5467,glare
5505,gnome
5511,goblin
5512,god
5525,gonorrhea
5537,gore
5541,gory
5550,government
5564,graduation
5599,grave
5623,grenade
5629,grieve
5630,grievous
5634,grim
5642,grisly
5646,grizzly
5655,grope
5660,grounded
5670,growl
5671,growling
5683,guard
5689,guerilla
5698,guillotine
5709,gulp
5712,gun
5714,gunpowder
5738,hag
5749,hallucination
5752,halter
5753,halting
5776,hanging
5777,hangman
5790,harbinger
5793,hardened
5802,harm
5803,harmful
5812,harrowing
5814,harshness
5826,hate
5827,hateful
5829,hatred
5833,haunt
5834,haunted
5836,havoc
5838,hawk
5840,hazard
5841,hazardous
5842,haze
5866,hearing
5868,hearse
5882,heathen
5899,heft
5903,heighten
5911,hell
5912,hellish
5914,helmet
5917,helpless
5918,helplessness
5925,hemorrhage
5959,hesitation
5969,hide
5970,hideous
5971,hiding
5975,highest
5996,hiss
6022,holiness
6024,holocaust
6027,homeless
6032,homework
6033,homicidal
6034,homicide
6044,honest
6053,hood
6054,hooded
6064,hopeless
6065,hopelessness
6077,horrible
6079,horrid
6080,horrific
6081,horrified
6082,horrifying
6083,horror
6084,horrors
6093,hospital
6095,hostage
6097,hostile
6098,hostilities
6114,howl
6155,hunter
6156,hunting
6159,hurricane
6162,hurt
6163,hurtful
6164,hurting
6176,hydra
6178,hydrocephalus
6188,hypertrophy
6197,hysteria
6198,hysterical
6223,idolatry
6232,ill
6233,illegal
6234,illegality
6237,illegitimate
6238,illicit
6240,illness
6273,immerse
6275,immigrant
6277,imminent
6278,immoral
6298,impeach
6304,impending
6311,impermeable
6340,impotence
6349,imprisoned
6350,imprisonment
6396,incarceration
6397,incase
6398,incendiary
6404,incest
6414,incite
6450,incrimination
6452,incubus
6454,incurable
6455,incursion
6461,indefensible
6480,indict
6481,indictment
6482,indifference
6495,indoctrination
6497,indomitable
6516,ineptitude
6517,inequality
6531,infamous
6534,infant
6535,infanticide
6538,infarct
6542,infection
6543,infectious
6549,inferno
6552,infestation
6553,infidel
6554,infidelity
6562,infirmity
6565,inflation
6567,inflict
6568,infliction
6607,inhuman
6617,injection
6619,injure
6620,injured
6621,injurious
6622,injury
6629,inmate
6653,insane
6654,insanity
6658,insecure
6659,insecurity
6665,insidious
6674,insolvency
6675,insolvent
6681,instability
6693,instinctive
6714,insulting
6718,insurmountable
6729,intelligence
6736,intense
6746,intercede
6783,interrogate
6784,interrogation
6795,interviewer
6803,intimately
6805,intimidate
6806,intimidation
6808,intolerance
6809,intolerant
6817,intrigue
6825,intruder
6826,intrusion
6827,intrusive
6832,invade
6833,invader
6873,iris
6879,irrational
6881,irreconcilable
6888,irreparable
6906,isolated
6932,jail
6939,jarring
6941,jaundice
6945,jaws
6948,jealousy
6953,jeopardize
6954,jeopardy
6987,journey
7012,jungle
7043,kerosene
7050,khan
7055,kidnap
7056,kill
7057,killing
7086,knell
7113,lace
7133,lament
7149,landslide
7154,languishing
7171,lash
7197,lava
7204,lawlessness
7206,lawsuit
7207,lawyer
7209,laxative
7246,leeches
7257,legalized
7289,leprosy
7298,lethal
7305,leukemia
7318,libel
7341,lifeless
7352,lightning
7375,lines
7386,lion
7414,litigate
7448,lockup
7451,locust
7467,loneliness
7468,lonely
7478,loom
7494,lose
7496,loss
7519,loyal
7537,lunacy
7539,lunatic
7563,lynch
7568,mace
7573,mad
7576,madden
7577,madman
7578,madness
7579,mafia
7581,mage
7616,malaria
7618,malevolent
7621,malice
7622,malicious
7624,malignancy
7625,malignant
7637,mandamus
7646,mange
7648,mangle
7653,maniac
7657,manifestation
7663,manipulation
7672,manslaughter
7706,marry
7712,martyr
7713,martyrdom
7721,masochism
7725,massacre
7778,measles
7799,medical
7816,melee
7836,menace
7837,menacing
7851,mercenary
7855,merciless
7926,mighty
7936,military
7937,militia
7986,miscarriage
7991,misconception
7996,misery
7997,misfortune
7999,mishap
8002,mislead
8014,missile
8015,missing
8021,mistaken
8024,mistrust
8035,moan
8037,mob
8079,molestation
8104,monster
8105,monstrosity
8130,morbidity
8131,morgue
8143,mortality
8145,mortgage
8147,mortgagor
8148,mortification
8149,mortuary
8176,mournful
8200,mug
8211,mum
8220,murder
8221,murderer
8222,murderous
8237,musket
8248,mutilation
8249,mutiny
8254,muzzle
8258,mysterious
8293,nasty
8335,nefarious
8359,nervous
8360,nervousness
8366,nether
8370,neuralgia
8372,neurosis
8373,neurotic
8379,newcomer
8399,nightmare
8427,noncompliance
8463,notoriety
8473,noxious
8499,nurture
8518,obey
8519,obi
8530,obliging
8531,obligor
8533,obliterate
8534,obliterated
8535,obliteration
8536,oblivion
8555,obstacle
8559,obstruct
8572,occult
8591,odious
8599,offender
8600,offense
8618,ogre
8628,omen
8629,ominous
8634,omnipotence
8661,opera
8663,operation
