,English (en)
49,absolution
61,abundance
62,abundant
85,accolade
88,accompaniment
92,accomplish
93,accomplished
122,achieve
123,achievement
143,acrobat
199,admirable
202,admiration
220,adorable
221,adoration
222,adore
229,advance
235,advent
250,advocacy
260,aesthetics
266,affection
281,affluence
378,alive
403,allure
411,aloha
435,amazingly
442,ambition
447,amen
455,amicable
461,amnesty
465,amour
477,amuse
478,amused
479,amusement
480,amusing
512,angel
513,angelic
525,animated
629,applause
645,appreciation
656,approve
695,ardent
742,art
774,aspiration
775,aspire
776,aspiring
822,astonishment
852,atone
905,auspicious
908,authentic
951,award
969,baby
1018,balm
1040,banquet
1044,baptismal
1087,basketball
1114,beach
1122,beam
1123,beaming
1136,beautification
1137,beautiful
1138,beautify
1139,beauty
1150,beer
1155,befriend
1193,benevolence
1194,benign
1213,betrothed
1270,birth
1271,birthday
1313,bless
1314,blessed
1315,blessing
1316,blessings
1326,bliss
1327,blissful
1342,bloom
1343,blossom
1382,boisterous
1393,bonanza
1403,bonus
1457,bountiful
1458,bounty
1459,bouquet
1527,bridal
1528,bride
1529,bridegroom
1530,bridesmaid
1536,brighten
1538,brilliant
1567,brotherly
1584,buddy
1654,buss
1710,calf
1744,candid
1792,captivate
1826,carol
1849,cash
1884,cathedral
1913,celebrated
1914,celebrating
1915,celebration
1916,celebrity
1917,celestial
1948,ceremony
1971,champion
1982,chant
2001,charitable
2002,charity
2004,charmed
2030,cheer
2031,cheerful
2032,cheerfulness
2033,cheering
2034,cheery
2041,cherish
2054,child
2056,childhood
2069,chirp
2074,chocolate
2076,choir
2084,choral
2099,chuckle
2102,church
2144,civilized
2154,clap
2165,classics
2175,clean
2202,climax
2216,closeness
2218,closure
2231,clown
2351,comfort
2361,commemorate
2362,commemoration
2366,commendable
2393,communion
2404,companion
2421,compensate
2436,complement
2441,completing
2442,completion
2453,compliment
2502,conciliation
2549,confidence
2550,confident
2581,congratulatory
2602,connoisseur
2610,consecration
2680,content
2794,coronation
2874,courtship
2876,cove
2900,cradle
2926,cream
2930,create
2951,crescendo
2994,crowning
3029,cuddle
3136,dance
3152,darling
3163,daughter
3164,dawn
3178,deal
3305,delicious
3306,delight
3307,delighted
3308,delightful
3315,deliverance
3340,demonstrative
3445,destination
3506,devout
3521,diamond
3526,diary
3820,ditty
3874,doll
3877,dolphin
3920,dove
4052,eager
4053,eagerness
4092,ecstasy
4093,ecstatic
4100,edification
4133,ejaculation
4143,elated
4154,electric
4156,elegance
4157,elegant
4163,elevation
4171,elite
4189,emancipation
4207,embrace
4254,enchant
4255,enchanted
4256,enchanting
4266,encourage
4280,endless
4297,engaged
4299,engaging
4315,enjoy
4316,enjoying
4319,enlighten
4320,enlightenment
4322,enliven
4342,entertain
4343,entertained
4344,entertaining
4345,entertainment
4346,enthusiasm
4347,enthusiast
4386,equality
4416,erotic
4447,established
4450,esteem
4492,evergreen
4511,exalt
4512,exaltation
4513,exalted
4522,exceed
4524,excel
4525,excellence
4526,excellent
4538,excitation
4539,excite
4540,excited
4541,excitement
4542,exciting
4573,exhilaration
4601,expedient
4648,exquisite
4681,exuberance
4715,fain
4721,faith
4741,familiarity
4750,fancy
4752,fanfare
4792,favorable
4793,favorite
4803,feat
4818,feeling
4821,felicity
4848,fervor
4849,festival
4850,festive
4852,fete
4870,fidelity
4875,fiesta
4903,finally
4932,firstborn
