,English (en)
2,abandon
3,abandoned
4,abandonment
13,abduction
33,abortion
34,abortive
42,abscess
43,absence
44,absent
45,absentee
63,abuse
66,abysmal
67,abyss
82,accident
112,accursed
121,ache
124,aching
165,adder
225,adrift
228,adultery
240,adverse
241,adversity
278,afflict
280,affliction
284,affront
292,aftermath
304,aggravating
319,agony
332,ail
333,ailing
357,alcoholism
369,alienated
370,alienation
499,anathema
506,anchorage
520,anguish
527,animosity
535,annihilated
536,annihilation
547,annulment
568,anthrax
584,antisocial
590,anxiety
596,apathetic
597,apathy
607,apologize
625,appendicitis
707,arid
727,arraignment
740,arsenic
742,art
766,ashamed
767,ashes
779,assailant
780,assassin
782,assassination
841,atherosclerosis
856,atrocity
857,atrophy
861,attacking
872,attenuation
906,austere
926,autopsy
930,avalanche
953,awful
985,backwater
986,bacteria
988,bad
991,badly
1029,bang
1031,banish
1032,banished
1033,banishment
1037,bankrupt
1038,bankruptcy
1041,banshee
1069,barren
1091,bastard
1104,battered
1107,battled
1134,beating
1156,beg
1157,beggar
1175,belittle
1199,bereaved
1200,bereavement
1211,betray
1212,betrayal
1235,bier
1239,bigoted
1279,bitch
1281,bitterly
1282,bitterness
1286,black
1291,blackness
1308,bleak
1309,bleeding
1310,blemish
1317,blight
1318,blighted
1323,blindly
1324,blindness
1334,blockade
1339,bloodshed
1341,bloody
1350,blue
1351,blues
1354,blunder
1388,bomb
1392,bomber
1395,bondage
1434,boredom
1447,bothering
1449,bottom
1510,breakup
1553,broke
1554,broken
1576,brute
1591,bugaboo
1613,bum
1627,burdensome
1633,burial
1634,buried
1635,burke
1648,bury
1692,cadaver
1697,cage
1700,calamity
1740,cancel
1743,cancer
1794,captive
1795,captivity
1803,carcass
1804,carcinoma
1808,cardiomyopathy
1822,carnage
1847,case
1855,casket
1863,casualty
1872,cataract
1873,catastrophe
1925,cemetery
1956,chagrin
1983,chaos
1998,chargeable
2077,choke
2078,cholera
2094,chronic
2218,closure
2226,clouded
2228,cloudy
2257,cocaine
2270,coercion
2276,coffin
2299,coldness
2302,collapse
2321,collusion
2337,coma
2338,comatose
2361,commemorate
2377,committal
2394,communism
2434,complain
2486,conceal
2497,concerned
2518,concussion
2520,condemnation
2524,condescension
2531,condolence
2545,confession
2554,confine
2555,confined
2556,confinement
2562,confiscate
2565,conflict
2610,consecration
2628,console
2652,constraint
2669,contaminated
2749,convict
2801,corpse
2818,corrupting
2820,corse
2839,couch
2884,coward
2914,crash
2924,crazy
2949,cremation
2962,cringe
2963,cripple
2964,crippled
2969,criticism
2970,criticize
2981,cross
2998,crucifixion
3000,cruel
3002,cruelty
3006,crumbling
3010,crushed
3016,cry
3017,crying
3018,crypt
3046,cumbersome
3051,cupping
3067,curse
3068,cursed
3095,cutting
3107,cyst
3109,cytomegalovirus
3117,daemon
3126,damage
3127,damages
3130,damnation
3140,danger
3147,dark
3148,darken
3149,darkened
3151,darkness
3157,dashed
3174,deadly
3185,death
3186,debacle
3193,debt
3198,decay
3199,decayed
3200,deceased
3201,deceit
3202,deceitful
3203,deceive
3224,decomposed
3225,decomposition
3246,default
3248,defeated
3253,defendant
3258,defenseless
3273,deflate
3279,deformed
3280,deformity
3284,defunct
3285,defy
3286,degeneracy
3291,degrading
3294,delay
3313,delirious
3314,delirium
3319,deluge
3320,delusion
3327,dementia
3328,demise
3331,demolish
3333,demon
3334,demonic
3340,demonstrative
3342,demoralized
3346,denied
3360,depart
3361,departed
3363,departure
3366,dependence
3372,deplorable
3373,deplore
3375,deport
3376,deportation
3382,depraved
3385,depreciated
3387,depress
3388,depressed
3389,depressing
3390,depression
3391,depressive
3392,deprivation
3405,derogation
3406,derogatory
3411,descent
3415,desecration
3416,desert
3417,deserted
3434,desolation
3435,despair
3436,despairing
3443,despotism
3445,destination
3448,destitute
3449,destroyed
3451,destroying
3460,detainee
3466,detention
3469,deteriorate
3470,deteriorated
3471,deterioration
3485,devastate
3486,devastating
3487,devastation
3493,deviation
3495,devil
3535,dictatorship
3540,die
3551,difficulties
3552,difficulty
3564,dilapidated
3576,diminish
3594,dire
3602,disability
3603,disable
3604,disabled
3609,disagreeing
3610,disagreement
3612,disallowed
3616,disappoint
3617,disappointed
3618,disappointing
3619,disappointment
3620,disapproval
3621,disapprove
3622,disapproved
3623,disapproving
3626,disaster
3627,disastrous
3649,discolored
3650,discomfort
3651,disconnect
3652,disconnected
3654,discontent
3657,discontinuity
3662,discourage
3674,discriminate
3676,discrimination
3681,disease
3682,diseased
3683,disembodied
3686,disfigured
3687,disgrace
3688,disgraced
3690,disgruntled
3693,disgust
3696,disheartened
3697,disheartening
3698,dishonest
3700,dishonor
3701,disillusionment
3716,disliked
3717,dislocated
3720,dismal
3721,dismay
3722,dismemberment
3724,dismissal
3732,disparage
3733,disparaging
3735,disparity
3736,dispassionate
3738,dispel
3745,displaced
3748,displeased
3754,dispossessed
3758,disqualified
3759,disqualify
3765,disrespectful
3777,disservice
3783,dissolution
3806,distraught
3807,distress
3814,disturbance
3815,disturbed
3849,divorce
3872,doldrums
3873,dole
3876,dolor
3889,domination
3898,doomed
3899,doomsday
3912,doubt
3922,downfall
3930,drab
3950,dreadful
3951,dreadfully
3956,dreary
3982,drown
3987,drugged
4012,dull
4016,dumps
4030,duress
4038,dwarfed
4043,dying
4050,dysentery
4069,earthquake
4170,elimination
4187,emaciated
4193,embarrass
4195,embarrassment
4205,embolism
4216,emergency
4243,emptiness
4271,encumbrance
4278,endemic
4280,endless
4281,endocarditis
4323,enmity
4332,enslaved
4337,entangled
4373,epidemic
4381,epitaph
4423,error
4434,eschew
4450,esteem
4475,euthanasia
4480,evanescence
4485,evasion
4496,evict
4497,eviction
4500,evil
4544,excluded
4545,excluding
4546,exclusion
4553,execution
4554,executioner
4568,exhausted
4569,exhaustion
4577,exile
4585,exorcism
4605,expel
4619,expire
4627,explode
4647,expulsion
4658,exterminate
4662,extinct
4713,failing
4714,failure
4716,fainting
4723,faithless
4725,fall
4729,falling
4743,famine
4776,fasting
4777,fat
4778,fatal
4779,fatality
4785,fatigued
4786,fatty
4787,fault
4797,fearful
4798,fearfully
4814,feeble
4818,feeling
4823,fell
4856,feudalism
4956,flaccid
4987,flaw
4991,fleece
5004,flinch
5012,flog
5015,flop
5020,flounder
5091,forbid
5103,foreclose
5123,forfeit
5125,forfeiture
5134,forgotten
5138,forlorn
5152,forsake
5153,forsaken
5163,fortress
5186,fragile
5192,frailty
5202,fraught
5204,frayed
5232,frighten
5234,frightful
5255,frown
5256,frowning
5262,fruitless
5263,frustrate
5269,fugitive
5287,funeral
5289,funk
5299,furrow
5301,fury
5304,fuss
5306,futile
5329,gallows
5425,geriatric
5434,ghetto
5486,gloom
5487,gloomy
5499,glum
5525,gonorrhea
5537,gore
5541,gory
5599,grave
5606,gray
5627,grief
5628,grievance
5629,grieve
5630,grievous
5634,grim
5647,groan
5660,grounded
5679,grumpy
5698,guillotine
5699,guilt
5700,guilty
5707,gullible
5739,haggard
5752,halter
5753,halting
5762,hamstring
5766,handicap
5776,hanging
5796,hardship
5803,harmful
5813,harry
5826,hate
5827,hateful
5829,hatred
5834,haunted
5868,hearse
5870,heartache
5872,heartfelt
5875,heartless
5911,hell
5912,hellish
5917,helpless
5918,helplessness
5925,hemorrhage
5948,hermit
5970,hideous
5987,hindering
6008,hoary
6009,hoax
6012,hobo
6023,hollow
6024,holocaust
6027,homeless
6030,homesick
6034,homicide
6044,honest
6064,hopeless
6065,hopelessness
6079,horrid
6080,horrific
6082,horrifying
6083,horror
6084,horrors
6092,hospice
6093,hospital
6114,howl
6131,humble
6132,humbled
6134,humbug
6137,humiliate
6139,humiliation
6155,hunter
6162,hurt
6163,hurtful
6164,hurting
6172,hut
6178,hydrocephalus
6185,hymn
6214,idiocy
6232,ill
6233,illegal
6237,illegitimate
6240,illness
6278,immoral
6339,impossible
6340,impotence
6349,imprisoned
6350,imprisonment
6361,imprudent
6367,inability
6376,inadequate
6384,inappropriate
6396,incarceration
6397,incase
6404,incest
6427,income
6429,incompatible
6431,incompetent
6437,inconsequential
6438,inconsiderate
6442,inconvenient
6450,incrimination
6454,incurable
6482,indifference
6484,indigent
6511,inefficiency
6512,inefficient
6516,ineptitude
6517,inequality
6523,inexcusable
6532,infamy
6535,infanticide
6543,infectious
6547,inferior
6551,infertility
6554,infidelity
6567,inflict
6568,infliction
6604,inhibit
6606,inhospitable
6607,inhuman
6608,inhumanity
6609,inimical
6619,injure
6620,injured
6621,injurious
6622,injury
6654,insanity
6658,insecure
6669,insignificant
6674,insolvency
6675,insolvent
6713,insult
6714,insulting
6718,insurmountable
6744,inter
6746,intercede
6759,interested
6769,interment
6786,interrupted
6793,intervention
6809,intolerant
6832,invade
6833,invader
6834,invalid
6881,irreconcilable
6888,irreparable
6901,irritation
6905,isolate
6906,isolated
6907,isolation
6932,jail
6939,jarring
6948,jealousy
7018,jurisprudence
7040,kennel
7055,kidnap
7056,kill
7057,killing
7086,knell
7107,labored
7113,lace
7126,lagging
7133,lament
7134,lamenting
7149,landslide
7154,languishing
7176,late
7206,lawsuit
7208,lax
7239,leave
7289,leprosy
7290,lesbian
7298,lethal
7300,lethargy
7305,leukemia
7333,lie
7341,lifeless
7363,limited
7397,liquor
7403,listless
7414,litigate
7448,lockup
7466,lone
7467,loneliness
7468,lonely
7469,lonesome
7472,longing
7494,lose
7495,losing
7496,loss
7497,lost
7510,lovely
7514,lower
7516,lowest
7518,lowly
7537,lunacy
7550,lush
7563,lynch
7573,mad
7615,malaise
7616,malaria
7618,malevolent
7622,malicious
7624,malignancy
7648,mangle
7672,manslaughter
7686,margin
7712,martyr
7713,martyrdom
7725,massacre
7763,mausoleum
7775,meaningless
7778,measles
7811,meek
7814,melancholic
7815,melancholy
7818,melodrama
7822,meltdown
7833,memorials
7937,militia
7986,miscarriage
7994,miserable
7995,miserably
7996,misery
7997,misfortune
7999,mishap
8011,misrepresentation
8015,missing
8020,mistake
8027,misunderstanding
8035,moan
8043,mocking
8079,molestation
8103,monsoon
8113,moody
8129,morbid
8130,morbidity
8131,morgue
8132,moribund
8143,mortality
8148,mortification
8149,mortuary
8157,mother
8175,mourn
8176,mournful
8177,mourning
8200,mug
8220,murder
8221,murderer
8222,murderous
8223,murky
8232,music
8233,musical
8248,mutilation
8255,myopia
8282,napkin
8293,nasty
8308,nauseous
8326,necessity
8335,nefarious
8337,negative
8339,neglected
8348,negro
8357,nepotism
8366,nether
8370,neuralgia
8372,neurosis
8427,noncompliance
8433,nonsensical
8437,noose
8456,nothingness
8490,numbness
8502,nutritious
8517,obesity
8520,obit
8521,obituary
8533,obliterate
8535,obliteration
8539,obnoxious
8555,obstacle
8588,oddity
8598,offended
8599,offender
8600,offense
8622,older
8640,onerous
8661,opera
8672,opium
8683,oppress
8684,oppression
8685,oppressive
8686,oppressor
8712,orchestra
8746,orphan
8760,oust
8762,outburst
8763,outcast
8801,ovation
8811,overdue
8825,overload
8831,overpriced
8846,overwhelmed
8850,owing
8880,pain
8881,pained
8882,painful
8883,painfully
8906,palsy
8914,pandemic
8949,paralysis
8950,paralyzed
8962,pare
8996,parting
9036,pathetic
9056,paucity
9057,pauper
9105,penal
9106,penalty
9107,penance
9125,pensive
9142,perdition
9157,peril
9158,perilous
9166,perish
9168,perished
9169,perishing
9183,pernicious
9186,perpetrator
9194,perplexity
9196,persecution
9223,perversion
9226,pessimism
9227,pessimist
9319,pine
9327,pious
9343,pitfall
9347,pity
9356,plague
9360,plaintive
9395,plea
9412,plight
9431,plunder
9439,poaching
9453,pointless
9455,poison
9456,poisoned
9458,poisonous
9468,polio
9548,posthumous
9569,poverty
9576,powerless
9597,precarious
9720,priesthood
9748,prison
9749,prisoner
9759,probation
9764,problem
9770,procession
9813,progression
9884,prosecute
9895,prostitution
9952,psychosis
9981,punch
9990,punished
9991,punishing
9993,punitive
10093,quiet
10110,rabid
10115,rack
10149,rainy
10170,rape
10187,rating
10200,ravenous
10263,recession
10265,recidivism
10369,refugee
10374,refused
10399,regret
10400,regrettable
10401,regretted
10402,regretting
10429,reject
10431,rejection
10432,rejects
10439,relapse
10459,relics
10484,remiss
10490,remorse
10494,remove
10550,repress
10556,reprisal
10558,reproach
10572,requiem
10587,resentment
10599,resign
10600,resignation
10601,resigned
10608,resisting
10652,restrict
10654,restriction
10669,retard
10676,retirement
10684,retribution
10720,revoke
10723,revolution
10727,revolver
10732,rheumatism
10752,ridicule
10803,rob
10805,robbery
10823,romance
10842,rot
10876,rubble
10883,rue
10888,ruin
10889,ruined
10890,ruinous
10898,rumor
10901,runaway
10907,rupture
10921,sabotage
10926,sacrifices
10928,sadly
10929,sadness
10967,sanctify
10982,sap
10985,sarcasm
10986,sarcoma
11014,savor
11036,scar
11038,scarce
11039,scarcely
11040,scarcity
11058,schizophrenia
11077,scold
11089,scourge
11095,scrapie
11140,secluded
11167,sedition
11180,segregate
11204,senile
11210,senseless
11219,sentence
