,English (en)
1,abacus
8,abbot
49,absolution
61,abundance
68,academic
85,accolade
88,accompaniment
95,accord
98,account
99,accountability
100,accountable
101,accountant
103,accounts
104,accredited
111,accurate
122,achieve
123,achievement
143,acrobat
179,adhering
198,administrative
199,admirable
200,admiral
202,admiration
203,admire
206,admissible
221,adoration
222,adore
235,advent
244,advice
245,advisable
246,advise
247,advised
249,adviser
250,advocacy
251,advocate
266,affection
273,affirm
276,affirmatively
296,aga
321,agreeable
322,agreed
323,agreeing
324,agreement
349,akin
353,alb
378,alive
385,allegiance
392,alliance
393,allied
407,ally
436,ambassador
442,ambition
444,ambulance
447,amen
463,amortization
465,amour
491,analyst
503,ancestral
512,angel
513,angelic
555,answerable
575,antidote
576,antifungal
583,antiseptic
605,apologetic
607,apologize
611,apostle
612,apostolic
629,applause
645,appreciation
649,apprentice
653,approbation
656,approve
673,arbiter
676,arbitrator
692,architecture
719,armor
721,armory
774,aspiration
776,aspiring
788,assembly
791,asserting
794,assessment
795,assessor
799,assignee
803,assist
806,associate
807,association
814,assurance
815,assure
816,assured
817,assuredly
852,atone
867,attendant
869,attentive
873,attest
874,attestation
878,attorney
894,auditor
901,aunt
908,authentic
909,authenticate
910,authentication
911,authenticity
912,author
913,authoritative
914,authority
915,authorization
916,authorize
923,automatic
951,award
958,axiom
959,axiomatic
970,babysitter
975,backbone
976,backer
989,badge
999,bailiff
1000,bait
1016,ballot
1035,bank
1036,banker
1057,bargain
1075,bartender
1076,barter
1077,base
1136,beautification
1144,bedrock
1155,befriend
1172,believed
1173,believer
1174,believing
1189,benefactor
1193,benevolence
1198,bequest
1213,betrothed
1270,birth
1299,blanket
1313,bless
1315,blessing
1316,blessings
1342,bloom
1375,bodyguard
1420,boomerang
1458,bounty
1459,bouquet
1527,bridal
1528,bride
1529,bridegroom
1530,bridesmaid
1536,brighten
1538,brilliant
1565,brother
1566,brotherhood
1567,brotherly
1584,buddy
1586,budget
1629,bureaucracy
1647,bursary
1662,butler
1679,bylaw
1686,cabinet
1706,calculator
1710,calf
1719,calls
1744,candid
1764,canons
1773,cap
1792,captivate
1817,caretaker
1826,carol
1849,cash
1850,cashier
1884,cathedral
1899,cautious
1915,celebration
1916,celebrity
1923,cement
1926,censor
1932,center
1951,certify
1959,chairman
1961,chairwoman
1971,champion
1973,chancellor
1987,chaplain
2001,charitable
2007,chart
2013,chastity
2026,checklist
2030,cheer
2032,cheerfulness
2038,chemist
2041,cherish
2049,chicane
2074,chocolate
2076,choir
2095,chronicle
2099,chuckle
2102,church
2143,civilization
2144,civilized
2152,clan
2154,clap
2175,clean
2181,clearance
2191,clerical
2202,climax
2216,closeness
2242,coach
2245,coalesce
2252,coax
2272,coexist
2274,coexisting
2278,cogent
2285,cohesion
2286,cohesive
2301,collaborator
2305,collateral
2312,collectively
2323,colonel
2351,comfort
2358,commandant
2360,commanding
2366,commendable
2371,commerce
2374,commission
2378,committed
2379,committee
2381,commodore
2384,commonplace
